id,hotel_name,n_comment,rank_in_country,url,excellent,good,average,poor,terrible
1,b'YOTEL Singapore',2182,b'#1 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12559807-Reviews-YOTEL_Singapore-Singapore.html,1059,823,203,61,37
2,b'Park Avenue Rochester Hotel',719,b'#2 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2435463-Reviews-Park_Avenue_Rochester_Hotel-Singapore.html,284,279,107,29,20
3,b'Crowne Plaza Changi Airport',5776,b'#3 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1086295-Reviews-Crowne_Plaza_Changi_Airport-Singapore.html,3159,1990,398,126,104
4,b'Village Hotel Changi by Far East Hospitality',4987,b'#4 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2090222-Reviews-Village_Hotel_Changi_by_Far_East_Hospitality-Singapore.html,1813,2066,768,209,131
5,b'Park Avenue Changi Hotel',644,b'#5 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4328402-Reviews-Park_Avenue_Changi_Hotel-Singapore.html,249,243,108,30,14
6,b'Marina Bay Sands',27368,b'#6 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html,15088,7369,2982,1038,892
7,b'M Social Singapore',935,b'#7 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10048396-Reviews-M_Social_Singapore-Singapore.html,472,294,98,40,31
8,b'Grand Copthorne Waterfront Hotel',4045,b'#8 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301679-Reviews-Grand_Copthorne_Waterfront_Hotel-Singapore.html,1970,1233,542,183,117
9,b'One Farrer Hotel',1862,b'#9 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d6530192-Reviews-One_Farrer_Hotel-Singapore.html,1302,423,79,30,29
10,b'Village Hotel Katong by Far East Hospitality',2992,b'#10 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2526267-Reviews-Village_Hotel_Katong_by_Far_East_Hospitality-Singapore.html,1767,961,210,31,23
11,b'Sandpiper Hotel Singapore',515,b'#11 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5438552-Reviews-Sandpiper_Hotel_Singapore-Singapore.html,269,93,62,32,59
12,b'Holiday Inn Express Singapore Clarke Quay',2628,b'#12 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4885970-Reviews-Holiday_Inn_Express_Singapore_Clarke_Quay-Singapore.html,1077,1212,260,45,34
13,b'Hotel G Singapore',2999,b'#13 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4329102-Reviews-Hotel_G_Singapore-Singapore.html,1142,1286,382,117,72
14,b'Royal Plaza on Scotts',4931,b'#14 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d304611-Reviews-Royal_Plaza_on_Scotts-Singapore.html,2357,1884,490,114,86
15,b'Grand Park City Hall',3640,b'#15 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306176-Reviews-Grand_Park_City_Hall-Singapore.html,1969,1027,423,132,89
16,b'ibis Singapore on Bencoolen Hotel',7120,b'#16 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1229624-Reviews-Ibis_Singapore_on_Bencoolen_Hotel-Singapore.html,2138,3840,980,111,51
17,b'Hotel Jen Orchardgateway Singapore by Shangri-La',2632,b'#17 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7056556-Reviews-Hotel_Jen_Orchardgateway_Singapore_by_Shangri_La-Singapore.html,1326,964,211,83,48
18,b'Capri by Fraser Changi City',1694,b'#18 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3291174-Reviews-Capri_by_Fraser_Changi_City-Singapore.html,884,592,133,44,41
19,b'Park Hotel Clarke Quay',5959,b'#19 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1239596-Reviews-Park_Hotel_Clarke_Quay-Singapore.html,2575,2389,725,178,92
20,b'30 Bencoolen',349,b'#20 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305428-Reviews-30_Bencoolen-Singapore.html,213,105,20,7,4
21,b'The Fullerton Hotel Singapore',4755,b'#21 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306173-Reviews-The_Fullerton_Hotel_Singapore-Singapore.html,3146,1081,341,104,83
22,b'Marina Mandarin Singapore',7278,b'#22 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d300855-Reviews-Marina_Mandarin_Singapore-Singapore.html,3567,2397,867,289,159
23,b'Rendezvous Hotel Singapore by Far East Hospitality',4078,b'#23 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299606-Reviews-Rendezvous_Hotel_Singapore_by_Far_East_Hospitality-Singapore.html,1819,1680,420,114,45
24,b'Mandarin Orchard Singapore',11197,b'#24 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d300850-Reviews-Mandarin_Orchard_Singapore-Singapore.html,4060,4464,1733,599,341
25,b'Orchard Hotel Singapore',4378,b'#25 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305520-Reviews-Orchard_Hotel_Singapore-Singapore.html,1748,1654,684,176,116
26,b'Sofitel Singapore Sentosa Resort & Spa',2492,b'#26 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d302969-Reviews-Sofitel_Singapore_Sentosa_Resort_Spa-Sentosa_Island.html,1575,547,191,97,82
27,b'PARKROYAL on Pickering',3975,b'#27 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3523347-Reviews-PARKROYAL_on_Pickering-Singapore.html,2552,1028,259,81,56
28,b'Hotel Nostalgia',1379,b'#28 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1546256-Reviews-Hotel_Nostalgia-Singapore.html,600,585,141,36,17
29,b'Village Hotel at Sentosa by Far East Hospitality',89,b'#29 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d15294579-Reviews-Village_Hotel_at_Sentosa_by_Far_East_Hospitality-Sentosa_Island.html,56,21,6,2,1
30,b'Resorts World Sentosa - Equarius Hotel',1490,b'#30 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d1447343-Reviews-Resorts_World_Sentosa_Equarius_Hotel-Sentosa_Island.html,826,403,165,49,47
31,b'YOTEL Singapore',2182,b'#1 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12559807-Reviews-YOTEL_Singapore-Singapore.html,1059,823,203,61,37
32,b'Park Avenue Rochester Hotel',719,b'#2 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2435463-Reviews-Park_Avenue_Rochester_Hotel-Singapore.html,284,279,107,29,20
33,b'Crowne Plaza Changi Airport',5776,b'#3 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1086295-Reviews-Crowne_Plaza_Changi_Airport-Singapore.html,3159,1990,398,126,104
34,b'Village Hotel Changi by Far East Hospitality',4987,b'#4 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2090222-Reviews-Village_Hotel_Changi_by_Far_East_Hospitality-Singapore.html,1813,2066,768,209,131
35,b'Park Avenue Changi Hotel',644,b'#5 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4328402-Reviews-Park_Avenue_Changi_Hotel-Singapore.html,249,243,108,30,14
36,b'Marina Bay Sands',27368,b'#6 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html,15088,7369,2982,1038,892
37,b'M Social Singapore',935,b'#7 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10048396-Reviews-M_Social_Singapore-Singapore.html,472,294,98,40,31
38,b'Grand Copthorne Waterfront Hotel',4045,b'#8 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301679-Reviews-Grand_Copthorne_Waterfront_Hotel-Singapore.html,1970,1233,542,183,117
39,b'One Farrer Hotel',1862,b'#9 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d6530192-Reviews-One_Farrer_Hotel-Singapore.html,1302,423,79,30,29
40,b'Village Hotel Katong by Far East Hospitality',2992,b'#10 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2526267-Reviews-Village_Hotel_Katong_by_Far_East_Hospitality-Singapore.html,1767,961,210,31,23
41,b'Sandpiper Hotel Singapore',515,b'#11 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5438552-Reviews-Sandpiper_Hotel_Singapore-Singapore.html,269,93,62,32,59
42,b'Holiday Inn Express Singapore Clarke Quay',2628,b'#12 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4885970-Reviews-Holiday_Inn_Express_Singapore_Clarke_Quay-Singapore.html,1077,1212,260,45,34
43,b'Hotel G Singapore',2999,b'#13 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4329102-Reviews-Hotel_G_Singapore-Singapore.html,1142,1286,382,117,72
44,b'Royal Plaza on Scotts',4931,b'#14 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d304611-Reviews-Royal_Plaza_on_Scotts-Singapore.html,2357,1884,490,114,86
45,b'Grand Park City Hall',3640,b'#15 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306176-Reviews-Grand_Park_City_Hall-Singapore.html,1969,1027,423,132,89
46,b'ibis Singapore on Bencoolen Hotel',7120,b'#16 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1229624-Reviews-Ibis_Singapore_on_Bencoolen_Hotel-Singapore.html,2138,3840,980,111,51
47,b'Hotel Jen Orchardgateway Singapore by Shangri-La',2632,b'#17 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7056556-Reviews-Hotel_Jen_Orchardgateway_Singapore_by_Shangri_La-Singapore.html,1326,964,211,83,48
48,b'Capri by Fraser Changi City',1694,b'#18 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3291174-Reviews-Capri_by_Fraser_Changi_City-Singapore.html,884,592,133,44,41
49,b'Park Hotel Clarke Quay',5959,b'#19 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1239596-Reviews-Park_Hotel_Clarke_Quay-Singapore.html,2575,2389,725,178,92
50,b'30 Bencoolen',349,b'#20 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305428-Reviews-30_Bencoolen-Singapore.html,213,105,20,7,4
51,b'The Fullerton Hotel Singapore',4755,b'#21 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306173-Reviews-The_Fullerton_Hotel_Singapore-Singapore.html,2463,823,283,88,70
52,b'Marina Mandarin Singapore',7278,b'#22 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d300855-Reviews-Marina_Mandarin_Singapore-Singapore.html,3567,2397,867,289,159
53,b'Rendezvous Hotel Singapore by Far East Hospitality',4078,b'#23 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299606-Reviews-Rendezvous_Hotel_Singapore_by_Far_East_Hospitality-Singapore.html,1819,1680,420,114,45
54,b'Mandarin Orchard Singapore',11197,b'#24 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d300850-Reviews-Mandarin_Orchard_Singapore-Singapore.html,4060,4464,1733,599,341
55,b'Orchard Hotel Singapore',4378,b'#25 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305520-Reviews-Orchard_Hotel_Singapore-Singapore.html,1748,1654,684,176,116
56,b'Sofitel Singapore Sentosa Resort & Spa',2492,b'#26 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d302969-Reviews-Sofitel_Singapore_Sentosa_Resort_Spa-Sentosa_Island.html,1575,547,191,97,82
57,b'PARKROYAL on Pickering',3975,b'#27 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3523347-Reviews-PARKROYAL_on_Pickering-Singapore.html,2552,1028,259,81,56
58,b'Hotel Nostalgia',1379,b'#28 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1546256-Reviews-Hotel_Nostalgia-Singapore.html,600,585,141,36,17
59,b'Village Hotel at Sentosa by Far East Hospitality',89,b'#29 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d15294579-Reviews-Village_Hotel_at_Sentosa_by_Far_East_Hospitality-Sentosa_Island.html,59,21,6,2,1
60,b'Resorts World Sentosa - Equarius Hotel',1490,b'#30 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d1447343-Reviews-Resorts_World_Sentosa_Equarius_Hotel-Sentosa_Island.html,826,403,165,49,47
61,b'PARKROYAL on Beach Road',3198,b'#61 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306192-Reviews-PARKROYAL_on_Beach_Road-Singapore.html,1329,1316,376,112,65
62,b'Swissotel Merchant Court Singapore',6266,b'#62 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301577-Reviews-Swissotel_Merchant_Court_Singapore-Singapore.html,2968,2402,614,191,92
63,b'Quincy Hotel by Far East Hospitality',3515,b'#63 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1235512-Reviews-Quincy_Hotel_by_Far_East_Hospitality-Singapore.html,2434,882,141,41,17
64,b'Aqueen Heritage Hotel Joo Chiat',203,b'#64 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10113627-Reviews-Aqueen_Heritage_Hotel_Joo_Chiat-Singapore.html,124,67,6,4,2
65,b'Holiday Inn Singapore Atrium',2878,b'#65 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305454-Reviews-Holiday_Inn_Singapore_Atrium-Singapore.html,796,1179,375,83,52
66,b'Carlton Hotel Singapore',4684,b'#66 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306161-Reviews-Carlton_Hotel_Singapore-Singapore.html,1760,2027,604,187,106
67,b'Novotel Singapore On Stevens',465,b'#67 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12825240-Reviews-Novotel_Singapore_On_Stevens-Singapore.html,285,137,28,12,3
68,"b'Four Points by Sheraton Singapore, Riverview'",1054,b'#68 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306107-Reviews-Four_Points_by_Sheraton_Singapore_Riverview-Singapore.html,567,373,85,19,10
69,b'The Scarlet Singapore',1876,b'#69 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d503404-Reviews-The_Scarlet_Singapore-Singapore.html,792,740,216,73,55
70,b'Novotel Singapore Clarke Quay',7125,b'#70 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301010-Reviews-Novotel_Singapore_Clarke_Quay-Singapore.html,2393,3201,1063,313,155
71,b'Hotel Indigo Singapore Katong',641,b'#71 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8767815-Reviews-Hotel_Indigo_Singapore_Katong-Singapore.html,443,160,18,14,6
72,b'Conrad Centennial Singapore',5289,b'#72 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306166-Reviews-Conrad_Centennial_Singapore-Singapore.html,3419,1401,330,89,50
73,"b'Oasia Hotel Downtown, Singapore by Far East Hospitality'",1946,b'#73 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d9872551-Reviews-Oasia_Hotel_Downtown_Singapore_by_Far_East_Hospitality-Singapore.html,1140,607,149,35,15
74,b'Hotel Mi',457,b'#74 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12834200-Reviews-Hotel_Mi-Singapore.html,201,165,62,17,12
75,b'Wangz Hotel',1451,b'#75 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1553862-Reviews-Wangz_Hotel-Singapore.html,933,412,80,16,10
76,b'Park Hotel Alexandra',2133,b'#76 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7621450-Reviews-Park_Hotel_Alexandra-Singapore.html,1043,798,202,58,33
77,b'Grand Park Orchard',2642,b'#77 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d593658-Reviews-Grand_Park_Orchard-Singapore.html,1126,944,359,130,83
78,b'Ann Siang House',66,b'#78 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d13406165-Reviews-Ann_Siang_House-Singapore.html,48,13,5,1,0
79,b'Villa Samadhi Singapore by Samadhi',213,b'#79 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7940674-Reviews-Villa_Samadhi_Singapore_by_Samadhi-Singapore.html,161,38,9,2,4
80,b'PARKROYAL on Kitchener Road',4954,b'#80 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306183-Reviews-PARKROYAL_on_Kitchener_Road-Singapore.html,2232,1537,664,270,251
81,b'Hotel Fort Canning',1710,b'#81 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1822389-Reviews-Hotel_Fort_Canning-Singapore.html,980,474,147,55,54
82,b'Aqueen Hotel Paya Lebar',312,b'#82 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8064827-Reviews-Aqueen_Hotel_Paya_Lebar-Singapore.html,134,123,37,10,8
83,b'Grand Mercure Singapore Roxy',5248,b'#83 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299850-Reviews-Grand_Mercure_Singapore_Roxy-Singapore.html,1683,2539,821,142,63
84,"b'Le Meridien Singapore, Sentosa'",1653,b'#84 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d547087-Reviews-Le_Meridien_Singapore_Sentosa-Sentosa_Island.html,701,611,200,84,57
85,b'Sofitel Singapore City Centre',365,b'#85 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12525934-Reviews-Sofitel_Singapore_City_Centre-Singapore.html,301,40,11,6,7
86,b'Ascott Raffles Place Singapore',494,b'#86 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1083872-Reviews-Ascott_Raffles_Place_Singapore-Singapore.html,275,155,36,13,16
87,b'SO Sofitel Singapore',2213,b'#87 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2590427-Reviews-SO_Sofitel_Singapore-Singapore.html,1318,580,188,90,37
88,b'Mercure Singapore On Stevens',284,b'#88 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d13135926-Reviews-Mercure_Singapore_On_Stevens-Singapore.html,120,104,41,15,4
89,b'Ascott Orchard Singapore',302,b'#89 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d11742592-Reviews-Ascott_Orchard_Singapore-Singapore.html,174,74,29,10,15
90,b'The Fullerton Bay Hotel Singapore',1865,b'#90 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1845693-Reviews-The_Fullerton_Bay_Hotel_Singapore-Singapore.html,1456,286,77,28,18
91,b'The St. Regis Singapore',2581,b'#91 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d678328-Reviews-The_St_Regis_Singapore-Singapore.html,1651,548,205,97,80
92,b'Fairmont Singapore',7261,b'#92 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301581-Reviews-Fairmont_Singapore-Singapore.html,4557,2066,420,136,82
93,b'Regent Singapore',2128,b'#93 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301431-Reviews-Regent_Singapore-Singapore.html,1202,686,168,40,32
94,b'Ramada by Wyndham Singapore at Zhongshan Park',3183,b'#94 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3505884-Reviews-Ramada_by_Wyndham_Singapore_at_Zhongshan_Park-Singapore.html,1347,1361,322,85,68
95,b'Days Hotel by Wyndham Singapore at Zhongshan Park',2549,b'#95 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3423710-Reviews-Days_Hotel_by_Wyndham_Singapore_at_Zhongshan_Park-Singapore.html,964,1193,300,65,27
96,b'Hilton Singapore',3323,b'#96 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306197-Reviews-Hilton_Singapore-Singapore.html,1392,1276,485,114,56
97,b'The Outpost Hotel at Sentosa by Far East Hospitality',51,b'#97 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d15743578-Reviews-The_Outpost_Hotel_at_Sentosa_by_Far_East_Hospitality-Sentosa_Island.html,43,7,1,0,0
98,b'Singapore Marriott Tang Plaza Hotel',3343,b'#98 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299774-Reviews-Singapore_Marriott_Tang_Plaza_Hotel-Singapore.html,2200,755,221,86,81
99,b'InterContinental Singapore Robertson Quay',478,b'#99 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d11717216-Reviews-InterContinental_Singapore_Robertson_Quay-Singapore.html,331,83,36,20,9
100,b'The Westin Singapore',1684,b'#100 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4720057-Reviews-The_Westin_Singapore-Singapore.html,954,491,136,60,43
101,b'Sheraton Towers Singapore',1977,b'#101 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301803-Reviews-Sheraton_Towers_Singapore-Singapore.html,1007,638,231,62,40
102,b'Somerset Liang Court Singapore',725,b'#102 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d320014-Reviews-Somerset_Liang_Court_Singapore-Singapore.html,319,314,58,22,12
103,b'The Capitol Kempinski Hotel Singapore',60,b'#103 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d14951821-Reviews-The_Capitol_Kempinski_Hotel_Singapore-Singapore.html,48,8,3,1,0
104,b'AMOY by Far East Hospitality',1586,b'#104 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4341475-Reviews-AMOY_by_Far_East_Hospitality-Singapore.html,1214,299,47,24,2
105,b'JW Marriott Hotel Singapore South Beach',1784,b'#105 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7736497-Reviews-JW_Marriott_Hotel_Singapore_South_Beach-Singapore.html,1188,360,121,56,59
106,b'Courtyard by Marriott Singapore Novena',315,b'#106 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12554757-Reviews-Courtyard_by_Marriott_Singapore_Novena-Singapore.html,174,108,19,8,6
107,b'Somerset Bencoolen',330,b'#107 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d472109-Reviews-Somerset_Bencoolen-Singapore.html,106,168,41,10,5
108,"b'The Vagabond Club, Singapore, a Tribute Portfolio Hotel'",870,b'#108 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7659569-Reviews-The_Vagabond_Club_Singapore_a_Tribute_Portfolio_Hotel-Singapore.html,638,169,42,9,12
109,b'Hotel Boss',3116,b'#109 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d9587422-Reviews-Hotel_Boss-Singapore.html,846,1121,682,242,226
